id	label	model
12764	Community	Bangla-Bert
202933	Individual	Bangla-Bert
165894	Individual	Bangla-Bert
124999	Organization	Bangla-Bert
535301	Society	Bangla-Bert
432948	Organization	Bangla-Bert
34737	Individual	Bangla-Bert
377091	Organization	Bangla-Bert
840467	Individual	Bangla-Bert
361701	Individual	Bangla-Bert
184161	Individual	Bangla-Bert
531785	Individual	Bangla-Bert
402930	Individual	Bangla-Bert
578332	None	Bangla-Bert
723077	Community	Bangla-Bert
776755	Society	Bangla-Bert
587800	Organization	Bangla-Bert
869387	Individual	Bangla-Bert
620490	None	Bangla-Bert
241030	Community	Bangla-Bert
764029	Society	Bangla-Bert
174711	Individual	Bangla-Bert
65995	None	Bangla-Bert
871343	Individual	Bangla-Bert
715822	Individual	Bangla-Bert
106487	Individual	Bangla-Bert
764737	Individual	Bangla-Bert
917460	Individual	Bangla-Bert
531356	Individual	Bangla-Bert
266651	None	Bangla-Bert
739854	Individual	Bangla-Bert
266764	Individual	Bangla-Bert
73332	Individual	Bangla-Bert
760242	Individual	Bangla-Bert
320758	Individual	Bangla-Bert
609567	Individual	Bangla-Bert
16555	None	Bangla-Bert
404893	Community	Bangla-Bert
357862	Individual	Bangla-Bert
624326	Individual	Bangla-Bert
364169	Organization	Bangla-Bert
631673	Individual	Bangla-Bert
105543	Organization	Bangla-Bert
699006	Individual	Bangla-Bert
701268	Individual	Bangla-Bert
742298	Community	Bangla-Bert
643737	None	Bangla-Bert
689092	Individual	Bangla-Bert
563553	Community	Bangla-Bert
662932	Individual	Bangla-Bert
473263	Organization	Bangla-Bert
422168	Individual	Bangla-Bert
862941	Individual	Bangla-Bert
342937	Organization	Bangla-Bert
178372	Community	Bangla-Bert
916768	Individual	Bangla-Bert
215239	Community	Bangla-Bert
763206	Individual	Bangla-Bert
666182	Individual	Bangla-Bert
503048	None	Bangla-Bert
519953	Community	Bangla-Bert
679666	Individual	Bangla-Bert
237037	None	Bangla-Bert
561654	Community	Bangla-Bert
335959	Individual	Bangla-Bert
672138	Individual	Bangla-Bert
705318	Individual	Bangla-Bert
251010	Individual	Bangla-Bert
50757	Community	Bangla-Bert
708711	Community	Bangla-Bert
379033	Individual	Bangla-Bert
356889	Individual	Bangla-Bert
380864	Individual	Bangla-Bert
