id	label	model
12764	Abusive	bangla-bert
202933	None	bangla-bert
165894	None	bangla-bert
124999	Profane	bangla-bert
535301	Religious Hate	bangla-bert
432948	Profane	bangla-bert
34737	None	bangla-bert
377091	Abusive	bangla-bert
840467	None	bangla-bert
361701	None	bangla-bert
184161	None	bangla-bert
531785	None	bangla-bert
402930	None	bangla-bert
578332	Political Hate	bangla-bert
723077	None	bangla-bert
776755	Religious Hate	bangla-bert
587800	Profane	bangla-bert
869387	None	bangla-bert
620490	Political Hate	bangla-bert
241030	Abusive	bangla-bert
764029	Religious Hate	bangla-bert
174711	None	bangla-bert
65995	Political Hate	bangla-bert
871343	None	bangla-bert
715822	None	bangla-bert
106487	None	bangla-bert
764737	None	bangla-bert
917460	None	bangla-bert
531356	None	bangla-bert
266651	Political Hate	bangla-bert
739854	None	bangla-bert
266764	None	bangla-bert
73332	None	bangla-bert
760242	Abusive	bangla-bert
320758	None	bangla-bert
609567	Abusive	bangla-bert
16555	Abusive	bangla-bert
404893	Abusive	bangla-bert
357862	None	bangla-bert
624326	None	bangla-bert
364169	Profane	bangla-bert
631673	None	bangla-bert
105543	Profane	bangla-bert
699006	None	bangla-bert
701268	None	bangla-bert
742298	Abusive	bangla-bert
643737	Abusive	bangla-bert
689092	None	bangla-bert
563553	Abusive	bangla-bert
662932	None	bangla-bert
473263	Profane	bangla-bert
422168	None	bangla-bert
862941	None	bangla-bert
342937	Profane	bangla-bert
178372	Abusive	bangla-bert
916768	None	bangla-bert
215239	Political Hate	bangla-bert
763206	None	bangla-bert
666182	None	bangla-bert
503048	Political Hate	bangla-bert
519953	Abusive	bangla-bert
679666	None	bangla-bert
237037	Abusive	bangla-bert
561654	None	bangla-bert
335959	None	bangla-bert
672138	None	bangla-bert
705318	None	bangla-bert
251010	None	bangla-bert
50757	None	bangla-bert
708711	Abusive	bangla-bert
379033	None	bangla-bert
356889	None	bangla-bert
380864	Abusive	bangla-bert
357388	None	bangla-bert
237264	Abusive	bangla-bert
785645	None	bangla-bert
10221	None	bangla-bert
51427	None	bangla-bert
327009	None	bangla-bert
72638	None	bangla-bert
454694	Abusive	bangla-bert
531585	None	bangla-bert
905729	None	bangla-bert
826344	None	bangla-bert
622615	Political Hate	bangla-bert
341026	Abusive	bangla-bert
756812	None	bangla-bert
446998	None	bangla-bert
507755	None	bangla-bert
252185	None	bangla-bert
677872	None	bangla-bert
573406	None	bangla-bert
708512	None	bangla-bert
35865	Political Hate	bangla-bert
521314	None	bangla-bert
629720	None	bangla-bert
579590	None	bangla-bert
420676	None	bangla-bert
888468	Profane	bangla-bert
507098	None	bangla-bert
33791	None	bangla-bert
628771	None	bangla-bert
197579	Political Hate	bangla-bert
228413	None	bangla-bert
607208	None	bangla-bert
482851	Abusive	bangla-bert
641065	None	bangla-bert
154089	None	bangla-bert
21246	None	bangla-bert
99970	None	bangla-bert
243706	Political Hate	bangla-bert
366232	None	bangla-bert
799431	Abusive	bangla-bert
151836	Profane	bangla-bert
384383	None	bangla-bert
